                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.66264,                 4.5897,                      0,                0.49418,                 1.0356,                 0.9606,                      1,                0.99177,                0.82833,                0.82345,                    0.8,                0.79047,                0.25017,                0.65049,                  4.039,                      0,                0.40841,                  1.028,              0.0006338,              0.0006338,              0.0006338
                     71,                0.61185,                 4.7903,                      0,                0.44485,                0.97627,                0.95227,                      1,                0.99081,                0.82597,                0.82315,                    0.8,                0.79466,                0.19267,                0.66011,                 4.1253,                      0,                 0.4072,                  1.031,               0.000614,               0.000614,               0.000614
                     72,                0.67364,                 5.3205,                      0,                  0.497,                 1.0218,                 0.9354,                      1,                0.98979,                0.81879,                 0.8252,                0.83333,                0.80684,                 0.2502,                0.66435,                 4.0678,                      0,                0.40319,                 1.0422,              0.0005942,              0.0005942,              0.0005942
                     73,                0.68123,                 5.2092,                      0,                0.46631,                 1.0415,                 0.9356,                      1,                0.99079,                0.80034,                0.80503,                0.83333,                0.79904,                0.26314,                0.70992,                 4.0497,                      0,                0.41803,                 1.0713,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69964,                 5.0208,                      0,                0.51436,                 1.0877,                0.93557,                      1,                0.99079,                0.79927,                 0.7698,                    0.8,                0.71951,                0.24138,                0.75551,                 4.0401,                      0,                0.44011,                 1.0995,              0.0005546,              0.0005546,              0.0005546
                     75,                0.63523,                 5.1253,                      0,                 0.4579,                0.99298,                0.93541,                      1,                0.99079,                0.78752,                0.79126,                0.75834,                0.69558,                0.24472,                0.77964,                 3.9796,                      0,                0.44813,                  1.116,              0.0005348,              0.0005348,              0.0005348
                     76,                0.73006,                 4.8195,                      0,                0.51339,                 1.0795,                0.94668,                      1,                0.99177,                0.80944,                0.82979,                0.76667,                0.77811,                0.20867,                0.75841,                 3.9848,                      0,                0.42333,                 1.1062,               0.000515,               0.000515,               0.000515
                     77,                0.68667,                 4.6916,                      0,                 0.4974,                 1.0512,                0.96269,                      1,                0.99177,                0.80505,                0.80225,                0.83333,                0.82649,                0.24386,                0.72554,                 3.8972,                      0,                0.41711,                 1.0905,              0.0004952,              0.0004952,              0.0004952
                     78,                0.68623,                 4.5558,                      0,                0.50805,                 1.0458,                0.96509,                      1,                0.99081,                0.80664,                0.80419,                0.83333,                0.79505,                0.25107,                0.70596,                 3.8899,                      0,                0.40752,                  1.075,              0.0004754,              0.0004754,              0.0004754
                     79,                0.71696,                 5.0393,                      0,                0.55156,                 1.0576,                0.96524,                      1,                0.99081,                 0.8101,                0.80421,                0.83333,                0.79855,                0.21347,                0.69518,                 3.9575,                      0,                0.40905,                  1.066,              0.0004556,              0.0004556,              0.0004556
                     80,                0.70536,                 4.8046,                      0,                0.50132,                 1.0678,                0.96608,                      1,                0.99081,                0.83313,                0.80471,                0.83333,                0.80159,                0.26367,                0.67999,                 3.8383,                      0,                0.41515,                 1.0497,              0.0004358,              0.0004358,              0.0004358
                     81,                0.68954,                 4.8735,                      0,                0.43897,                 1.0995,                0.96672,                      1,                0.98984,                0.83762,                0.80514,                0.83333,                0.79384,                0.24404,                0.67217,                 3.8017,                      0,                0.40367,                 1.0425,               0.000416,               0.000416,               0.000416
                     82,                 0.6006,                 4.6337,                      0,                0.43419,                0.98486,                0.96751,                      1,                0.98855,                0.83329,                0.80563,                0.83333,                0.78564,                0.23876,                0.66371,                 3.8382,                      0,                  0.402,                 1.0349,              0.0003962,              0.0003962,              0.0003962
                     83,                0.67476,                 4.6112,                      0,                0.47312,                 1.0753,                      1,                0.99979,                  0.995,                0.84066,                0.82739,                    0.8,                0.77019,                0.23057,                0.64762,                 3.8474,                      0,                   0.39,                 1.0252,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5413,                 4.7263,                      0,                0.41211,                0.97061,                0.99993,                      1,                  0.995,                0.83802,                  0.862,                0.83333,                 0.8353,                0.24219,                0.63558,                 3.8069,                      0,                0.39457,                 1.0132,              0.0003566,              0.0003566,              0.0003566
                     85,                0.67257,                 4.9544,                      0,                0.46594,                 1.0591,                0.99959,                      1,                  0.995,                0.84625,                 0.8635,                0.83333,                0.83705,                0.24767,                0.62723,                 3.7743,                      0,                0.39834,                 1.0034,              0.0003368,              0.0003368,              0.0003368
                     86,                0.63696,                 4.3015,                      0,                0.42314,                  1.023,                0.99943,                      1,                  0.995,                0.85864,                0.87677,                0.83333,                0.83754,                0.26631,                0.61119,                 3.7304,                      0,                0.39084,                0.99422,               0.000317,               0.000317,               0.000317
                     87,                0.63074,                 4.6647,                      0,                0.48053,                 1.0119,                0.99979,                      1,                  0.995,                0.86506,                0.89262,                0.83134,                0.84257,                0.25584,                0.60676,                 3.7189,                      0,                0.38401,                 0.9932,              0.0002972,              0.0002972,              0.0002972
                     88,                0.60786,                 4.4576,                      0,                0.44211,                  1.016,                0.99831,                      1,                  0.995,                0.87038,                0.88776,                0.83333,                0.85576,                0.27813,                0.60411,                 3.6846,                      0,                0.37905,                0.99596,              0.0002774,              0.0002774,              0.0002774
